term.id	term.name	adjusted.p.val
GO:0050432	catecholamine secretion	7.41842467320354e-05
GO:0050433	regulation of catecholamine secretion	3.65620928062914e-05
GO:0050663	cytokine secretion	0.00135022527183512
GO:0050670	regulation of lymphocyte proliferation	3.02883729093438e-10
GO:0050671	positive regulation of lymphocyte proliferation	4.9882400924832e-08
GO:0050707	regulation of cytokine secretion	0.000986326966454842
GO:0050708	regulation of protein secretion	0.000122834565334964
GO:0050729	positive regulation of inflammatory response	0.00511932240247436
GO:0050764	regulation of phagocytosis	6.96570454728862e-05
GO:0050766	positive regulation of phagocytosis	0.00126374689228475
GO:0050803	regulation of synapse structure or activity	8.30076154218931e-10
GO:0050804	modulation of chemical synaptic transmission	1.09142663892432e-23
GO:0050806	positive regulation of synaptic transmission	3.41104005846021e-09
GO:0050807	regulation of synapse organization	4.79313976739231e-08
GO:0050808	synapse organization	1.96023295243705e-15
GO:0050863	regulation of T cell activation	3.25713340515978e-11
GO:0050866	negative regulation of cell activation	0.000250524261806359
GO:0050867	positive regulation of cell activation	3.80013455928143e-08
GO:0050868	negative regulation of T cell activation	0.00403294147472255
GO:0050870	positive regulation of T cell activation	8.83885480026101e-09
GO:0050890	cognition	1.0491571970667e-15
GO:0050900	leukocyte migration	1.42983879640432e-07
GO:0050954	sensory perception of mechanical stimulus	0.000365963177794824
GO:0051047	positive regulation of secretion	7.40823237325427e-07
GO:0051048	negative regulation of secretion	5.39141965492771e-05
GO:0051216	cartilage development	0.00070720072525045
GO:0051249	regulation of lymphocyte activation	1.84625111474563e-05
GO:0051251	positive regulation of lymphocyte activation	0.0026360127563538
GO:0051480	regulation of cytosolic calcium ion concentration	8.80097769836102e-12
GO:0051588	regulation of neurotransmitter transport	8.64861344674923e-05
GO:0051592	response to calcium ion	0.00811615598847779
GO:0051656	establishment of organelle localization	0.00139065300377528
GO:0051668	localization within membrane	0.00184197827926897
GO:0051932	synaptic transmission, GABAergic	0.00013566707288933
GO:0051937	catecholamine transport	0.000830653960574938
GO:0051952	regulation of amine transport	1.67947550031368e-05
GO:0051963	regulation of synapse assembly	0.000168646733563813
GO:0051965	positive regulation of synapse assembly	0.00540070652483175
GO:0051966	regulation of synaptic transmission, glutamatergic	2.63679659956005e-05
GO:0051968	positive regulation of synaptic transmission, glutamatergic	0.00503352680580938
GO:0055074	calcium ion homeostasis	6.03523028775757e-10
GO:0060078	regulation of postsynaptic membrane potential	5.51430377178823e-17
GO:0060079	excitatory postsynaptic potential	1.53521964174807e-06
GO:0060173	limb development	1.21306131411238e-06
GO:0060272	embryonic skeletal joint morphogenesis	0.000145619970969437
GO:0060291	long-term synaptic potentiation	0.000450085445157714
GO:0060326	cell chemotaxis	0.00526289916459677
GO:0060333	interferon-gamma-mediated signaling pathway	2.09257351402633e-06
GO:0060359	response to ammonium ion	0.000103959292918795
GO:0060627	regulation of vesicle-mediated transport	4.61250159257241e-12
GO:0061448	connective tissue development	0.00877173134828634
GO:0070371	ERK1 and ERK2 cascade	0.000921086600937841
GO:0070372	regulation of ERK1 and ERK2 cascade	0.00230681810896981
GO:0070588	calcium ion transmembrane transport	4.39735606537956e-05
GO:0070661	leukocyte proliferation	8.54407711325145e-09
GO:0070663	regulation of leukocyte proliferation	2.94156950567433e-09
GO:0070665	positive regulation of leukocyte proliferation	2.75013977316235e-07
GO:0070838	divalent metal ion transport	9.72541979038552e-07
GO:0071216	cellular response to biotic stimulus	0.00599439032916413
GO:0071219	cellular response to molecule of bacterial origin	0.00266279030357937
GO:0071241	cellular response to inorganic substance	0.000170781876347606
GO:0071242	cellular response to ammonium ion	0.000176446116842931
GO:0071248	cellular response to metal ion	0.000247817018582682
GO:0071346	cellular response to interferon-gamma	0.000212382913579232
GO:0071706	tumor necrosis factor superfamily cytokine production	0.000459997681027945
GO:0071805	potassium ion transmembrane transport	9.08942423097942e-10
GO:0072498	embryonic skeletal joint development	0.000614988405746526
GO:0072503	cellular divalent inorganic cation homeostasis	5.08674980555675e-09
GO:0072511	divalent inorganic cation transport	1.82003006712525e-06
GO:0072606	interleukin-8 secretion	0.000398553569507151
GO:0097120	receptor localization to synapse	0.00206670758196099
GO:0097479	synaptic vesicle localization	3.85413296270639e-05
GO:0097480	establishment of synaptic vesicle localization	7.10374665393229e-05
GO:0097529	myeloid leukocyte migration	0.00433263611494235
GO:0099003	vesicle-mediated transport in synapse	3.73089253600225e-06
GO:0099177	regulation of trans-synaptic signaling	3.66819101461724e-24
GO:0099504	synaptic vesicle cycle	1.27205102864805e-07
GO:0099565	chemical synaptic transmission, postsynaptic	3.5371223464459e-06
GO:0099601	regulation of neurotransmitter receptor activity	0.00118595517596391
GO:0099632	protein transport within plasma membrane	0.00112050263355602
GO:0099637	neurotransmitter receptor transport	0.00112050263355602
GO:0099643	signal release from synapse	6.33275758124503e-06
GO:0110110	positive regulation of animal organ morphogenesis	0.00264572852814386
GO:1900449	regulation of glutamate receptor signaling pathway	8.4178952399315e-06
GO:1902107	positive regulation of leukocyte differentiation	0.00131586926605527
GO:1903037	regulation of leukocyte cell-cell adhesion	5.16837811710663e-09
GO:1903039	positive regulation of leukocyte cell-cell adhesion	1.54853477170906e-09
GO:1903305	regulation of regulated secretory pathway	2.61734674308248e-13
GO:1903307	positive regulation of regulated secretory pathway	1.13329928153049e-06
GO:1903522	regulation of blood circulation	0.000964474843147227
GO:1903531	negative regulation of secretion by cell	9.55322871783465e-06
GO:1903532	positive regulation of secretion by cell	3.50546556480772e-06
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	0.000223092442263008
GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	0.000256445488581893
GO:1904062	regulation of cation transmembrane transport	5.33929538124378e-06
GO:1904645	response to amyloid-beta	0.00162732160415633
GO:2000311	regulation of AMPA receptor activity	0.000151691078993272
GO:2000463	positive regulation of excitatory postsynaptic potential	0.00210495492504552
GO:2000482	regulation of interleukin-8 secretion	0.000462613753935786
GO:2000484	positive regulation of interleukin-8 secretion	0.00279189803116903
GO:2001257	regulation of cation channel activity	2.05256377924019e-07
REAC:R-HSA-112308	Presynaptic depolarization and calcium channel opening	0.00432812896011235
REAC:R-HSA-112310	Neurotransmitter release cycle	6.16285430504271e-05
REAC:R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	3.43368940723542e-15
REAC:R-HSA-112315	Transmission across Chemical Synapses	1.20670695452043e-23
REAC:R-HSA-112316	Neuronal System	4.63887839132243e-44
REAC:R-HSA-1296071	Potassium Channels	2.93174587379429e-14
REAC:R-HSA-1296072	Voltage gated Potassium channels	1.9060636257648e-08
REAC:R-HSA-1442490	Collagen degradation	0.000907232510762725
REAC:R-HSA-1474228	Degradation of the extracellular matrix	0.00282801300574238
REAC:R-HSA-1474244	Extracellular matrix organization	7.41741555947034e-11
REAC:R-HSA-1474290	Collagen formation	1.04183271003802e-06
REAC:R-HSA-1650814	Collagen biosynthesis and modifying enzymes	0.000119463989917882
REAC:R-HSA-181429	Serotonin Neurotransmitter Release Cycle	6.22851631124914e-06
REAC:R-HSA-181430	Norepinephrine Neurotransmitter Release Cycle	0.00195862086344199
REAC:R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	7.36857206413156e-09
REAC:R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	2.6952275387025e-07
REAC:R-HSA-202427	Phosphorylation of CD3 and TCR zeta chains	2.36225724697369e-09
REAC:R-HSA-202430	Translocation of ZAP-70 to Immunological synapse	9.74095311865373e-11
REAC:R-HSA-202433	Generation of second messenger molecules	2.77782150224045e-08
REAC:R-HSA-210500	Glutamate Neurotransmitter Release Cycle	1.83797493522355e-05
REAC:R-HSA-212676	Dopamine Neurotransmitter Release Cycle	0.000306291777879511
REAC:R-HSA-2132295	MHC class II antigen presentation	1.20565134104457e-05
REAC:R-HSA-216083	Integrin cell surface interactions	6.74590422172278e-06
REAC:R-HSA-2243919	Crosslinking of collagen fibrils	0.000505132880797874
REAC:R-HSA-264642	Acetylcholine Neurotransmitter Release Cycle	0.000940969325510883
REAC:R-HSA-3000171	Non-integrin membrane-ECM interactions	0.00337470872394716
REAC:R-HSA-3000178	ECM proteoglycans	2.85109621252012e-05
REAC:R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	3.00768099013051e-13
REAC:R-HSA-373760	L1CAM interactions	0.00266000100847863
REAC:R-HSA-375276	Peptide ligand-binding receptors	3.18461693137631e-07
REAC:R-HSA-375280	Amine ligand-binding receptors	0.00763244134239478
REAC:R-HSA-388841	Costimulation by the CD28 family	4.56200876107412e-05
REAC:R-HSA-389948	PD-1 signaling	2.42445602525034e-10
REAC:R-HSA-397014	Muscle contraction	4.75792744238581e-07
REAC:R-HSA-416476	G alpha (q) signalling events	0.000607412300658356
REAC:R-HSA-418594	G alpha (i) signalling events	1.58970821008981e-09
REAC:R-HSA-449147	Signaling by Interleukins	0.00012570284124049
REAC:R-HSA-500792	GPCR ligand binding	2.60636811338997e-18
REAC:R-HSA-5576891	Cardiac conduction	6.11478908148276e-09
REAC:R-HSA-5576892	Phase 0 - rapid depolarisation	2.17854585568537e-05
REAC:R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	0.00302064470576659
REAC:R-HSA-5619507	Activation of HOX genes during differentiation	0.00302064470576659
REAC:R-HSA-6783783	Interleukin-10 signaling	2.57649573566999e-07
REAC:R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	4.77805050812097e-06
REAC:R-HSA-6794361	Neurexins and neuroligins	0.000560953094891029
REAC:R-HSA-6794362	Protein-protein interactions at synapses	4.93680347005642e-06
REAC:R-HSA-6798695	Neutrophil degranulation	6.23355626154215e-05
REAC:R-HSA-877300	Interferon gamma signaling	1.03178410000836e-08
REAC:R-HSA-888590	GABA synthesis, release, reuptake and degradation	0.000508574404795479
REAC:R-HSA-8948216	Collagen chain trimerization	3.46722181931687e-05
REAC:R-HSA-977443	GABA receptor activation	2.15029598964744e-05
